ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,,,,
state,int,main,(,),{,},id,[,],",",;,=,if,else,while,||,&&,Q',==,!=,<,<=,>,>=,+,-,*,/,bool,float,char,z,b,f,c,$,P,D,D',D*,S,S',ASS,IF,WL,EXP,C,Q,QOP,R,ROP,ADD,AOP,TERM,MOP,FAC,T,LIT
0,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,s8,,,,,,,,,,,,,,,,,,,,,,,,,,,,s9,s10,s11,,,,,,,6,,,,,,,,,,,,,,,,,,,7,
6,,,,,s17,,s18,,,,,,s19,,s20,,,,,,,,,,,,,,,,,,,,,,,,,,12,13,14,15,16,,,,,,,,,,,,,
7,,,,,,,s22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,
8,,,,,,,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,r45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,r46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,s17,r7,s18,r7,r7,,,,s19,,s20,,,,,,,,,,,,,,,,,,,,,,,,,,24,13,14,15,16,,,,,,,,,,,,,
14,,,,,r9,r9,r9,r9,r9,,,,r9,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,r10,r10,r10,r10,r10,,,,r10,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,r11,r11,r11,r11,r11,,,,r11,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,s17,,s18,,,,,,s19,,s20,,,,,,,,,,,,,,,,,,,,,,,,,,25,13,14,15,16,,,,,,,,,,,,,
18,,,,,,,,s27,,,,s26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,s29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
